input,kind,horizon,metric,sessions,mean,t,p,stable_halves,first_half,second_half,median_tickers,hit_rate_mean,bh_threshold,fdr_significant,evidence
thesis_move_total,NUMERIC,1,ic_raw,8,0.05816654479954885,2.768970420884318,0.027735199880975548,True,0.07057530859325731,0.04575778100584041,1039.0,,6.906077348066299e-05,False,NO_EVIDENCE
gap_pct,NUMERIC,1,ic_raw,17,-0.08854336336561855,-2.3842136953767503,0.02984142518353351,True,-0.1140496281290242,-0.06587112802036908,1379.0,,0.00013812154696132598,False,NO_EVIDENCE
ev2_ev_contract,NUMERIC,1,ic_raw,17,-0.019994689501202412,-2.268649993818004,0.03748142384456709,True,-0.01839871569421922,-0.021413332885187472,1379.0,,0.00020718232044198895,False,NO_EVIDENCE
ev2_ev_selected,NUMERIC,1,ic_raw,17,-0.019994689501202412,-2.268649993818004,0.03748142384456709,True,-0.01839871569421922,-0.021413332885187472,1379.0,,0.00027624309392265195,False,NO_EVIDENCE
EMA50,NUMERIC,1,ic_raw,17,0.04024759615820348,2.1750317049920356,0.04496809643419071,True,0.035143818571213896,0.044784287346638675,1379.0,,0.0003453038674033149,False,NO_EVIDENCE
phantom_gamma_score,NUMERIC,1,ic_thesis,8,-0.021354053073106685,-2.3826527206365373,0.04869184402335605,True,-0.01846497684450602,-0.024243129301707345,1379.0,,0.0004143646408839779,False,NO_EVIDENCE
VWAP,NUMERIC,1,ic_raw,17,0.04059313731857594,2.126400979100592,0.04938127638049287,True,0.03463211532177822,0.04589182353795169,1379.0,,0.0004834254143646409,False,NO_EVIDENCE
pct_from_52w_low,NUMERIC,1,ic_thesis,8,0.042720965436075606,2.368715673237551,0.04970000734085386,True,0.03349781108539095,0.05194411978676028,1379.0,,0.0005524861878453039,False,NO_EVIDENCE
EMA21,NUMERIC,1,ic_raw,17,0.03989215072256934,2.0863487834530776,0.053311053296591665,True,0.03404176351031381,0.04509249491124093,1379.0,,0.0006215469613259669,False,NO_EVIDENCE
eil_gex_score,NUMERIC,1,ic_raw,17,-0.01297744632373012,-2.0403008079952705,0.058181181897586344,True,-0.006828014355471439,-0.01844360807329339,1307.0,,0.0006906077348066298,False,NO_EVIDENCE
layer1__control__aggression__sell_aggressive,NUMERIC,20,ic_raw,7,0.08720999302950659,10.529172188219393,0.06028165639172879,True,0.07832611832723498,0.09387289905621027,1343.0,,0.0007596685082872928,False,NO_EVIDENCE
layer1__control__aggression__buy_pct,NUMERIC,1,ic_raw,11,0.03969963381929911,2.11203538299996,0.0608335237875227,True,0.019803563203582418,0.056279692665729686,1307.0,,0.0008287292817679558,False,NO_EVIDENCE
layer1__control__aggression__sell_pct,NUMERIC,1,ic_raw,11,-0.03969963381929911,-2.11203538299996,0.0608335237875227,True,-0.019803563203582418,-0.056279692665729686,1307.0,,0.0008977900552486188,False,NO_EVIDENCE
EMA200,NUMERIC,1,ic_raw,17,0.035656591647265395,1.9895210086295714,0.06401823588172999,True,0.036801960098440514,0.03463848635733195,1379.0,,0.0009668508287292818,False,NO_EVIDENCE
phantom_iv_hist_median,NUMERIC,1,ic_thesis,8,0.03162972540305467,2.196837090709816,0.0640292611622647,True,0.051842024523022466,0.011417426283086873,1379.0,,0.0010359116022099447,False,NO_EVIDENCE
ev2_ev_5d,NUMERIC,1,ic_raw,17,-0.0229270353465812,-1.9810621176254994,0.0650405283726982,True,-0.006637265010729365,-0.03740683120067172,1379.0,,0.0011049723756906078,False,NO_EVIDENCE
range_pct,NUMERIC,1,ic_thesis,8,0.030774790812628183,2.1828437010567447,0.06536571112207494,True,0.050960590964747844,0.010588990660508526,1379.0,,0.0011740331491712707,False,NO_EVIDENCE
EMA9,NUMERIC,1,ic_raw,17,0.03904385646487045,1.9779875292328166,0.06541574411839704,True,0.032932940046924805,0.044475782169711015,1379.0,,0.0012430939226519338,False,NO_EVIDENCE
adv_dollars,NUMERIC,1,ic_raw,17,0.03178922156317094,1.9370300106294156,0.07060369555534757,True,0.03327761401342805,0.0304662060518313,1379.0,,0.0013121546961325967,False,NO_EVIDENCE
hv_30d,NUMERIC,1,ic_thesis,8,0.043547561470679695,2.0869329227460027,0.07531029866579894,True,0.0715357595194051,0.015559363421954287,602.0,,0.0013812154696132596,False,NO_EVIDENCE
vwap_acceptance_score,NUMERIC,1,ic_raw,17,-0.04116864973072343,-1.8799660845542696,0.0784474085808642,True,-0.05284300912630108,-0.030791441379098852,1379.0,,0.0014502762430939227,False,NO_EVIDENCE
risk_reversal,NUMERIC,1,ic_raw,11,0.030365648961287264,1.9224553998374283,0.08346947467453524,True,0.06094922423661388,0.004879336231848423,1016.0,,0.0015193370165745856,False,NO_EVIDENCE
atr_pct,NUMERIC,1,ic_thesis,8,0.03953154488320774,2.0115936403084707,0.08416767260350899,True,0.07011279849701002,0.008950291269405442,1379.0,,0.0015883977900552487,False,NO_EVIDENCE
atr_percentile,NUMERIC,1,ic_thesis,8,0.03872198925974358,1.9710750626952491,0.08934951547826478,True,0.06904337934036432,0.008400599179122835,603.0,,0.0016574585635359116,False,NO_EVIDENCE
contract_vega,NUMERIC,1,ic_raw,17,0.03716601007517171,1.7964900152055485,0.09131993858944938,True,0.042237022696312174,0.03265844330082464,603.0,,0.0017265193370165747,False,NO_EVIDENCE
phase_transition_probability,NUMERIC,5,ic_raw,14,-0.057356861350047764,-2.250139735239249,0.09372313854208364,True,-0.05144723707667303,-0.0632664856234225,1358.0,,0.0017955801104972376,False,NO_EVIDENCE
transition_success_10d,NUMERIC,5,ic_raw,14,-0.057356861350047764,-2.250139735239249,0.09372313854208364,True,-0.05144723707667303,-0.0632664856234225,1358.0,,0.0018646408839779007,False,NO_EVIDENCE
transition_success_5d,NUMERIC,5,ic_raw,14,-0.05735681809474191,-2.2501395648918487,0.0937231553286372,True,-0.05144739315360697,-0.06326624303587684,1358.0,,0.0019337016574585636,False,NO_EVIDENCE
transition_success_20d,NUMERIC,5,ic_raw,14,-0.0573562494100214,-2.2501204699176567,0.09372503702756474,True,-0.05144658778985727,-0.06326591103018553,1358.0,,0.0020027624309392265,False,NO_EVIDENCE
put_25d_iv,NUMERIC,1,ic_thesis,8,0.04228836507808353,1.9377741083293933,0.09384208153211451,True,0.08006737803541136,0.00450935212075569,1016.0,,0.0020718232044198894,False,NO_EVIDENCE
ev2_ev_10d,NUMERIC,1,ic_raw,17,-0.016198616740387178,-1.7692382838042995,0.09590825771223548,True,-0.012165108888763917,-0.019783957052941187,1379.0,,0.0021408839779005527,False,NO_EVIDENCE
gamma_flip,NUMERIC,1,ic_raw,17,0.03495511337381473,1.7621977834348044,0.09712603839631771,True,0.02713339922918262,0.041907748169043274,1262.0,,0.0022099447513812156,False,NO_EVIDENCE
layer2__ret_pctl_20d_p60,NUMERIC,1,ic_thesis,8,0.024940258272485215,1.8749085406194952,0.10293298556495686,True,0.044822282088349444,0.005058234456620986,1399.0,,0.0022790055248618785,False,NO_EVIDENCE
atm_iv,NUMERIC,1,ic_thesis,8,0.033962271883115125,1.8088800833848968,0.11340063735559627,True,0.05722154302295411,0.010703000743276136,1262.0,,0.0023480662983425414,False,NO_EVIDENCE
layer1__control__aggression__buy_aggressive,NUMERIC,20,ic_raw,7,0.08438995078353125,5.505239530327498,0.11439165360237276,True,0.0644164303269505,0.0993700911259668,1343.0,,0.0024171270718232048,False,NO_EVIDENCE
regime_instability_score,NUMERIC,5,ic_raw,14,0.08015490230485336,2.0361100271327928,0.11779255377530909,True,0.11906837356556126,0.0412414310441455,1358.0,,0.0024861878453038676,False,NO_EVIDENCE
eil_iv_score,NUMERIC,1,ic_thesis,8,-0.016776394686529,-1.7715695461081542,0.11976142895703389,True,-0.022341631490701192,-0.011211157882356812,1307.0,,0.0025552486187845305,False,NO_EVIDENCE
actuarial_sample,NUMERIC,1,ic_thesis,8,-0.019542698951783094,-1.7685070927638342,0.12029844185901523,True,-0.02057798117255877,-0.018507416731007423,1379.0,,0.0026243093922651934,False,NO_EVIDENCE
l3_expected_move_1_5d,NUMERIC,1,ic_thesis,8,0.03771666382096899,1.7677002708127372,0.12044030401984228,True,0.0663219741448418,0.00911135349709619,1376.0,,0.0026933701657458568,False,NO_EVIDENCE
l3_expected_move_6_10d,NUMERIC,1,ic_thesis,8,0.037688324984384056,1.765465540190829,0.12083406855364459,True,0.06627561121287955,0.009101038755888559,1376.0,,0.0027624309392265192,False,NO_EVIDENCE
l3_expected_move_11_20d,NUMERIC,1,ic_thesis,8,0.037665571353224146,1.765337689314446,0.12085663334260667,True,0.06624409893479416,0.00908704377165413,1376.0,,0.0028314917127071825,False,NO_EVIDENCE
win_rate_10d,NUMERIC,1,ic_thesis,8,0.019816693701109805,1.758521685841582,0.12206545700379884,True,0.017043563931329685,0.02258982347088992,1379.0,,0.0029005524861878454,False,NO_EVIDENCE
actuarial_win_rate_10d,NUMERIC,1,ic_thesis,8,0.019816693701109805,1.758521685841582,0.12206545700379884,True,0.017043563931329685,0.02258982347088992,1379.0,,0.0029696132596685083,False,NO_EVIDENCE
layer1__scenarios__conditional_near__probability_estimate,NUMERIC,20,ic_raw,7,-0.07222338645018354,-5.027627733860207,0.12499301631753565,True,-0.07293238011137293,-0.07169164120429149,1343.0,,0.0030386740331491712,False,NO_EVIDENCE
path_score,NUMERIC,1,ic_thesis,8,0.02454787151433823,1.7350247538954564,0.12632169637934584,True,0.034165480521177696,0.014930262507498765,1379.0,,0.0031077348066298346,False,NO_EVIDENCE
win_probability,NUMERIC,1,ic_thesis,8,0.025153546537098698,1.7235851705067935,0.12844464307156636,True,0.03555049830767108,0.01475659476652631,603.0,,0.0031767955801104975,False,NO_EVIDENCE
force_alignment_score,NUMERIC,5,ic_raw,14,-0.06293275662119482,-1.916557660371019,0.13422424332557828,True,-0.08049195426925755,-0.04537355897313212,1358.0,,0.0032458563535911603,False,NO_EVIDENCE
eil_ev_score,NUMERIC,20,ic_raw,7,0.0653256435278304,4.585715362094887,0.1366868578329897,True,0.07208802846459181,0.060253854825259315,1343.0,,0.0033149171270718232,False,NO_EVIDENCE
phantom_gamma_trajectory,NUMERIC,1,ic_thesis,8,-0.02521295446806306,-1.6802716337888366,0.13679322401017768,True,-0.005527965974098376,-0.044897942962027745,1379.0,,0.003383977900552486,False,NO_EVIDENCE
phantom_gamma_trajectory_signed,NUMERIC,1,ic_thesis,8,-0.02521295446806306,-1.6802716337888366,0.13679322401017768,True,-0.005527965974098376,-0.044897942962027745,1379.0,,0.0034530386740331495,False,NO_EVIDENCE
ev2_ev_execution_adj,NUMERIC,20,ic_raw,7,0.06388600988646058,4.5010081769176375,0.13917877744677506,True,0.07126091238357392,0.058354833013625575,1343.0,,0.0035220994475138124,False,NO_EVIDENCE
ev,NUMERIC,20,ic_raw,7,0.0681337217803785,4.377935526366465,0.14296284372647133,True,0.07694174267479734,0.06152770610956439,1343.0,,0.0035911602209944752,False,NO_EVIDENCE
trigger_ev_10d,NUMERIC,20,ic_raw,7,0.0681337217803785,4.377935526366465,0.14296284372647133,True,0.07694174267479734,0.06152770610956439,1343.0,,0.003660220994475138,False,NO_EVIDENCE
ev_conf_adj,NUMERIC,20,ic_raw,7,0.0681337217803785,4.377935526366465,0.14296284372647133,True,0.07694174267479734,0.06152770610956439,1343.0,,0.0037292817679558015,False,NO_EVIDENCE
ev_net,NUMERIC,20,ic_raw,7,0.0681337217803785,4.377935526366465,0.14296284372647133,True,0.07694174267479734,0.06152770610956439,1343.0,,0.0037983425414364644,False,NO_EVIDENCE
ev2_ev_conf_adj,NUMERIC,20,ic_raw,7,0.0681337217803785,4.377935526366465,0.14296284372647133,True,0.07694174267479734,0.06152770610956439,1343.0,,0.0038674033149171273,False,NO_EVIDENCE
fd_ev_used,NUMERIC,20,ic_raw,7,0.0681337217803785,4.377935526366465,0.14296284372647133,True,0.07694174267479734,0.06152770610956439,1343.0,,0.00393646408839779,False,NO_EVIDENCE
ev_final,NUMERIC,20,ic_raw,7,0.0681337217803785,4.377935526366465,0.14296284372647133,True,0.07694174267479734,0.06152770610956439,1343.0,,0.004005524861878453,False,NO_EVIDENCE
win_rate_20d,NUMERIC,1,ic_thesis,8,0.02223862623111477,1.6466594395113285,0.14362187841965293,True,0.0345853075728368,0.00989194488939274,1379.0,,0.004074585635359116,False,NO_EVIDENCE
prob_breakout,NUMERIC,1,ic_thesis,8,0.02516140245010891,1.6461085093358427,0.14373642683704674,True,0.035477332329119385,0.014845472571098445,1379.0,,0.004143646408839779,False,NO_EVIDENCE
composite_score,NUMERIC,1,ic_thesis,8,0.02516140245010891,1.6461085093358427,0.14373642683704674,True,0.035477332329119385,0.014845472571098445,1379.0,,0.004212707182320442,False,NO_EVIDENCE
prob_rejection,NUMERIC,1,ic_thesis,8,-0.02516140245010891,-1.6461085093358427,0.14373642683704674,True,-0.035477332329119385,-0.014845472571098445,1379.0,,0.0042817679558011055,False,NO_EVIDENCE
composite,NUMERIC,1,ic_thesis,8,0.02516140245010891,1.6461085093358427,0.14373642683704674,True,0.035477332329119385,0.014845472571098445,1379.0,,0.004350828729281768,False,NO_EVIDENCE
prob_drift,NUMERIC,1,ic_thesis,8,-0.025159510869251858,-1.6459749940915431,0.14376419997562123,True,-0.03547394217159232,-0.01484507956691139,1379.0,,0.004419889502762431,False,NO_EVIDENCE
composite_adjusted,NUMERIC,1,ic_thesis,8,0.025151695429860167,1.6457414442339384,0.14381279388208776,True,0.035461259187596426,0.014842131672123908,1379.0,,0.004488950276243095,False,NO_EVIDENCE
ev2_ev_20d,NUMERIC,1,ic_raw,17,-0.0168850834216621,-1.5063706062750915,0.15145951343633374,True,-0.02247049431916853,-0.011920273734989724,1379.0,,0.004558011049723757,False,NO_EVIDENCE
ev2_ev_final,NUMERIC,20,ic_raw,7,0.0658663314425824,4.105493477059884,0.15210344999006548,True,0.07549459550609877,0.05864513339494512,1343.0,,0.00462707182320442,False,NO_EVIDENCE
eil_ev_v2,NUMERIC,20,ic_raw,7,0.0658663314425824,4.105493477059884,0.15210344999006548,True,0.07549459550609877,0.05864513339494512,1343.0,,0.004696132596685083,False,NO_EVIDENCE
gamma_flip_conf,NUMERIC,1,ic_thesis,8,-0.01864018286188211,-1.6039511662451722,0.15275950348773473,False,-0.037856797808232694,0.0005764320844684706,603.0,,0.004765193370165746,False,NO_EVIDENCE
adv_dollars,NUMERIC,5,ic_raw,14,0.041325708946815594,1.7989208951462505,0.1529050634333854,True,0.00920709773960797,0.07344432015402323,1358.0,,0.0048342541436464095,False,NO_EVIDENCE
call_25d_iv,NUMERIC,1,ic_thesis,8,0.03077621330991082,1.592967899404425,0.15519547284306148,False,0.06512934688215698,-0.003576920262335341,1016.0,,0.004903314917127072,False,NO_EVIDENCE
