input,kind,horizon,metric,sessions,mean,t,p,years,same_sign_years,yearly,hit_rate,share_positive_label,bh_threshold,fdr_significant,evidence
dollar_volume_zscore,NUMERIC,20,ic_raw,199,0.005493343499533392,0.5562594729460241,0.5805779420847889,5,3,"{'2022': 0.0209, '2023': 0.0101, '2024': -0.0026, '2025': -0.0051, '2026': 0.0193}",,,0.049734042553191485,False,NO_EVIDENCE
base_conditions_count,NUMERIC,10,ic_thesis,179,-0.00554295124338587,-0.5362291892781131,0.5931454554745305,5,4,"{'2022': 0.053, '2023': -0.0012, '2024': -0.0188, '2025': -0.0103, '2026': -0.0107}",,,0.05,False,NO_EVIDENCE
base_conditions_count,NUMERIC,10,ic_raw,179,-0.0057073834212539466,-0.5352006900476071,0.5938533944532521,5,3,"{'2022': -0.0708, '2023': -0.011, '2024': 0.0123, '2025': -0.0072, '2026': 0.0058}",,,0.050265957446808514,False,NO_EVIDENCE
repricing_direction,LABEL,20,mean_signed_bps,199,-11.314494858849415,-0.5367148286616662,0.5939056977866268,5,2,"{'2022': 1.8564, '2023': -29.0031, '2024': 0.2039, '2025': 11.6203, '2026': -44.5062}",0.4944257505911143,0.5422724443105986,0.05053191489361702,False,NO_EVIDENCE
crabel_score,NUMERIC,5,ic_thesis,199,-0.0022262132953068453,-0.5335973245304378,0.5942186539251118,5,4,"{'2022': -0.007, '2023': -0.0051, '2024': 0.0069, '2025': -0.0068, '2026': -0.0023}",,,0.050797872340425536,False,NO_EVIDENCE
crabel_compression,NUMERIC,20,ic_raw,199,0.00647924363696852,0.5344374708865602,0.5954680032460944,5,4,"{'2022': 0.0229, '2023': 0.0132, '2024': -0.0059, '2025': 0.0072, '2026': 0.0054}",,,0.05106382978723405,False,NO_EVIDENCE
wyckoff_validation_phase_correctness_score,NUMERIC,20,ic_thesis,199,0.004933476796405231,0.5327705549024657,0.5966127593480194,5,3,"{'2022': 0.058, '2023': 0.0048, '2024': -0.0028, '2025': -0.004, '2026': 0.003}",,,0.05132978723404256,False,NO_EVIDENCE
phase_evidence_strength,NUMERIC,20,ic_raw,199,0.0044081508905931925,0.5285365129178159,0.5995251259789384,5,3,"{'2022': -0.0162, '2023': 0.0005, '2024': -0.0037, '2025': 0.0189, '2026': 0.0115}",,,0.05159574468085107,False,NO_EVIDENCE
wyckoff_validation_phase_probability,NUMERIC,20,ic_raw,199,0.0044081508905931925,0.5285365129178159,0.5995251259789384,5,3,"{'2022': -0.0162, '2023': 0.0005, '2024': -0.0037, '2025': 0.0189, '2026': 0.0115}",,,0.05186170212765957,False,NO_EVIDENCE
days_to_trigger,NUMERIC,1,ic_thesis,180,0.004814995807081565,0.5171887563916472,0.6056628870537253,5,3,"{'2022': 0.0341, '2023': -0.0213, '2024': 0.0176, '2025': 0.0305, '2026': -0.0216}",,,0.05212765957446809,False,NO_EVIDENCE
atr_percentile_rank,NUMERIC,5,ic_thesis,199,0.0025124997414741426,0.5162070702740812,0.6062857954610742,5,3,"{'2022': 0.0085, '2023': 0.0015, '2024': -0.0077, '2025': 0.015, '2026': -0.0027}",,,0.0523936170212766,False,NO_EVIDENCE
wyckoff_validation_phase_probability,NUMERIC,5,ic_thesis,199,0.0025102174286371856,0.5147171165196224,0.6073247957615399,5,3,"{'2022': 0.0227, '2023': 0.0101, '2024': -0.01, '2025': 0.0064, '2026': -0.0066}",,,0.052659574468085106,False,NO_EVIDENCE
phase_evidence_strength,NUMERIC,5,ic_thesis,199,0.0025102174286371856,0.5147171165196224,0.6073247957615399,5,3,"{'2022': 0.0227, '2023': 0.0101, '2024': -0.01, '2025': 0.0064, '2026': -0.0066}",,,0.052925531914893624,False,NO_EVIDENCE
fusion_contradictions,NUMERIC,5,ic_thesis,199,0.0023344291856755173,0.5100152595345767,0.610608814104852,5,4,"{'2022': 0.0043, '2023': 0.0078, '2024': 0.0003, '2025': 0.0037, '2026': -0.0061}",,,0.05319148936170213,False,NO_EVIDENCE
wyckoff_transition_conf,NUMERIC,20,ic_thesis,60,0.007553105396408874,0.5167614231339959,0.6133889964117896,5,4,"{'2022': 0.0761, '2023': -0.0203, '2024': 0.0196, '2025': 0.0004, '2026': 0.0113}",,,0.05345744680851064,False,NO_EVIDENCE
baseline_past_return_5,NUMERIC,20,ic_thesis,199,-0.004853078067115618,-0.5084812068175686,0.613409389858616,5,2,"{'2022': 0.0077, '2023': 0.0087, '2024': -0.0091, '2025': -0.0216, '2026': 0.0001}",,,0.05372340425531916,False,NO_EVIDENCE
phase_convergence,NUMERIC,10,ic_raw,199,-0.0028124132888787783,-0.5040921264469823,0.6153223305502058,5,2,"{'2022': 0.0112, '2023': 0.0032, '2024': -0.0115, '2025': -0.0132, '2026': 0.0103}",,,0.05398936170212766,False,NO_EVIDENCE
