             label  h         iv direction    n  sessions     b_F  se_F_hc1  t_F_hc1  p_F_hc1  t_F_cl_ticker    b_IV  t_IV_hc1  frac_sessions_bF_pos  frac_sessions_tF_gt2              power
iv_avg_ge2_sources 20  IV_avg_20       PUT  189       4.0  0.2940    0.2007   1.4647   0.1430         1.4670  0.2190    1.7040                   NaN                   NaN                 OK
iv_avg_ge2_sources 20  IV_avg_20     OTHER  894       4.0  0.1057    0.0527   2.0056   0.0449         1.9439  0.2747    4.8877                   NaN                   NaN                 OK

=== (c) pipeline IV by direction, y=abs ===
 h iv_source direction    n  n_nonoverlap  G_session     b_F  se_F_hc1  t_F_hc1  p_F_hc1  t_F_cl_session  p_F_cl_session  t_F_cl_ticker    b_IV  t_IV_hc1     R2  t_F_nonov_hc1              power
 5      pipe    POOLED 8062        4476.0       13.0  0.4181    0.0226  18.5256   0.0000          6.7403          0.0000        12.7826  0.1645    7.8659 0.1560        12.6830                 OK
 5      pipe      CALL 2281        1627.0       13.0  0.5719    0.0438  13.0537   0.0000          8.1461          0.0000        11.3368  0.1215    3.0242 0.1789         9.1309                 OK
 5      pipe       PUT  777         544.0       13.0  0.3772    0.0602   6.2627   0.0000          4.9752          0.0003         5.0941  0.0468    1.4585 0.1138         4.2994                 OK
 5      pipe     OTHER 5004        3024.0       13.0  0.3490    0.0284  12.2728   0.0000          5.2522          0.0002         9.1685  0.2125    8.3320 0.1546        10.4355                 OK
 5     cache    POOLED 6005        3074.0       13.0  0.1911    0.0472   4.0464   0.0001          4.1169          0.0014         3.1025  0.3914    6.3862 0.1644         1.9977                 OK
 5     cache      CALL 1543        1162.0       13.0  0.2495    0.1386   1.7992   0.0720          1.8928          0.0827         1.5446  0.5737    3.7396 0.2314         2.1803                 OK
 5     cache       PUT  527         367.0       13.0  0.2227    0.0724   3.0767   0.0021          2.1627          0.0515         2.6012  0.1861    3.0703 0.0990         1.3728                 OK
 5     cache     OTHER 3935        1969.0       13.0  0.1815    0.0378   4.7967   0.0000          3.8535          0.0023         3.1715  0.3086    5.9807 0.1423         2.8035                 OK
 5    greeks    POOLED 1618         898.0        6.0  0.3267    0.0699   4.6712   0.0000          4.0070          0.0103         4.4603  0.3284    5.0195 0.1985         2.9759                 OK
 5    greeks      CALL  585         470.0        6.0  0.4201    0.1427   2.9441   0.0032          2.3135          0.0686         2.7262  0.3571    2.8311 0.2374         3.6036                 OK
 5    greeks       PUT  137         105.0        6.0  0.7616    0.1721   4.4245   0.0000          4.4029          0.0070         4.4672 -0.0911   -0.8187 0.3491         2.6179                 OK
 5    greeks     OTHER  896         481.0        6.0  0.2024    0.0725   2.7905   0.0053          2.0136          0.1002         2.2301  0.3310    4.2758 0.1561         0.6354                 OK
10      pipe    POOLED 5156        2269.0       10.0  0.4671    0.0235  19.8701   0.0000          7.5726          0.0000        14.0276  0.0940    4.8485 0.1938        10.6831                 OK
10      pipe      CALL 2038        1152.0       10.0  0.4798    0.0359  13.3717   0.0000          6.5565          0.0001        11.0292  0.0613    1.9522 0.1777         8.2579                 OK
10      pipe       PUT  520         324.0       10.0  0.5169    0.0739   6.9987   0.0000         12.4707          0.0000         5.0555  0.0338    1.0057 0.2010         4.8453                 OK
10      pipe     OTHER 2598        1496.0       10.0  0.4362    0.0340  12.8479   0.0000          5.4767          0.0004         9.2184  0.1478    5.0617 0.2075         9.4882                 OK
10     cache    POOLED 2216        1434.0       10.0  0.1747    0.0759   2.2998   0.0215          3.2989          0.0092         2.3086  0.4884    5.3134 0.2523         2.1822                 OK
10     cache      CALL 1275         866.0       10.0  0.3305    0.0785   4.2081   0.0000          3.6456          0.0054         4.1529  0.3235    5.1407 0.2369         4.1504                 OK
10     cache       PUT  259         177.0       10.0  0.0588    0.1065   0.5524   0.5807          0.6679          0.5210         0.4109  0.4885    4.2327 0.1780         0.0659                 OK
10     cache     OTHER  682         564.0       10.0 -0.0271    0.1386  -0.1956   0.8450         -0.7906          0.4495        -0.1857  0.7455    3.6221 0.3305        -0.0907                 OK
10    greeks    POOLED  824         590.0        3.0  0.2499    0.0908   2.7538   0.0059          3.6601          0.0672         2.7704  0.2571    3.0821 0.1614         2.1673                 OK
10    greeks      CALL  525         418.0        3.0  0.2497    0.1292   1.9329   0.0533          2.0568          0.1760         1.8095  0.2806    2.4488 0.1612         1.4124                 OK
10    greeks       PUT   65          60.0        3.0  0.2446    0.0877   2.7891   0.0053          4.1711          0.0530         2.7659  0.0619    0.4089 0.1127         2.8195 INSUFFICIENT_POWER
10    greeks     OTHER  234         193.0        3.0  0.2761    0.1373   2.0106   0.0444          2.4525          0.1337         1.9770  0.2361    2.0262 0.1846         1.9461                 OK
20      pipe    POOLED 2237        1095.0        4.0  0.2188    0.0307   7.1268   0.0000          3.8732          0.0305         5.8505  0.1409    5.1350 0.0935         5.1602                 OK
20      pipe      CALL  803         544.0        4.0  0.2279    0.0511   4.4599   0.0000          4.6655          0.0186         4.1473  0.0966    2.1112 0.0757         3.1366                 OK
20      pipe       PUT  159         134.0        4.0  1.0157    0.1827   5.5604   0.0000          4.8037          0.0172         5.2011 -0.0843   -1.4962 0.2722         4.7105                 OK
20      pipe     OTHER 1275         819.0        4.0  0.1626    0.0392   4.1503   0.0000          2.0541          0.1322         3.5216  0.2037    5.4392 0.1055         3.1616                 OK
20     cache    POOLED 1406        1259.0        4.0  0.0558    0.0874   0.6377   0.5236          2.3998          0.0959         0.6356  0.4081    4.2768 0.1510         0.3494                 OK
20     cache      CALL  778         716.0        4.0  0.2559    0.0953   2.6855   0.0072          5.7817          0.0103         2.5434  0.2550    3.5127 0.1519         2.6604                 OK
20     cache       PUT  128         123.0        4.0 -0.1037    0.1030  -1.0062   0.3143         -3.5716          0.0375        -1.0017  0.4789    4.2503 0.1706        -1.0663                 OK
20     cache     OTHER  500         475.0        4.0 -0.2384    0.1565  -1.5231   0.1277         -4.7139          0.0181        -1.5186  0.6378    3.2494 0.1998        -1.5475                 OK
20    greeks    POOLED  824         543.0        3.0  0.0207    0.0838   0.2470   0.8049          0.2317          0.8383         0.2089  0.4568    5.2639 0.1660        -0.1048                 OK
20    greeks      CALL  525         407.0        3.0  0.0153    0.1002   0.1531   0.8783          0.4118          0.7204         0.1432  0.5107    4.7907 0.1917         0.0573                 OK
20    greeks       PUT   65          59.0        3.0 -0.2664    0.1079  -2.4687   0.0136         -1.8973          0.1982        -2.3503  0.4141    2.4844 0.0564        -2.7884 INSUFFICIENT_POWER
20    greeks     OTHER  234         188.0        3.0  0.2460    0.1183   2.0793   0.0376          1.6522          0.2403         2.0100  0.2240    2.1528 0.1672         1.7446                 OK

=== (a)/(b) R2 by source, pooled, y=abs ===
 h iv_source model     n     R2  mean_F_over_mean_y  mean_IV_over_mean_y  median_sigmaf_over_IV
 5      none     a 17275 0.1506              1.6069                  NaN                    NaN
 5      surf     a  2389 0.1831              1.5304               1.4336                 1.1341
 5      surf     b  2389 0.2377              1.5304               1.4336                 1.1341
 5      pipe     a  8062 0.1427              1.5816               1.6159                 1.0846
 5      pipe     b  8062 0.0922              1.5816               1.6159                 1.0846
 5     cache     a  6005 0.1209              1.7018               1.5807                 1.1301
 5     cache     b  6005 0.1535              1.7018               1.5807                 1.1301
 5      book     a   571 0.1194              1.8180               1.7158                 1.1457
 5      book     b   571 0.1546              1.8180               1.7158                 1.1457
 5    greeks     a  1618 0.1679              1.5177               1.4816                 1.0737
 5    greeks     b  1618 0.1706              1.5177               1.4816                 1.0737
10      none     a 13460 0.1714              1.6688                  NaN                    NaN
10      surf     a  2935 0.1589              1.5970               1.7461                 0.9401
10      surf     b  2935 0.1404              1.5970               1.7461                 0.9401
10      pipe     a  5156 0.1872              1.6120               1.7625                 1.0238
10      pipe     b  5156 0.0843              1.6120               1.7625                 1.0238
10     cache     a  2216 0.1846              1.6023               1.5675                 1.0462
10     cache     b  2216 0.2428              1.6023               1.5675                 1.0462
10      book     a     0    NaN                 NaN                  NaN                    NaN
10      book     b     0    NaN                 NaN                  NaN                    NaN
10    greeks     a   824 0.1405              1.4709               1.6367                 0.9140
10    greeks     b   824 0.1445              1.4709               1.6367                 0.9140
20      none     a  5172 0.1059              1.5880                  NaN                    NaN
20      surf     a  2931 0.1145              1.7093               1.8684                 0.9405
20      surf     b  2931 0.1183              1.7093               1.8684                 0.9405
20      pipe     a  2237 0.0826              1.6381               1.8131                 0.9409
20      pipe     b  2237 0.0717              1.6381               1.8131                 0.9409
20     cache     a  1406 0.0966              1.5874               1.7297                 0.9261
20     cache     b  1406 0.1500              1.5874               1.7297                 0.9261
20      book     a     0    NaN                 NaN                  NaN                    NaN
20      book     b     0    NaN                 NaN                  NaN                    NaN
20    greeks     a   824 0.1041              1.5566               1.7201                 0.9133
20    greeks     b   824 0.1659              1.5566               1.7201                 0.9133
